Initial_Population,Final_Population
555554.36,163209.03
627060.92,163926.90
564413.01,509291.54
564989.19,513032.67
578492.05,515902.07
578519.65,516494.20
624796.97,516506.10
587976.72,516626.78
520522.01,517428.86
589695.34,517541.54
591441.49,519468.99
557598.93,519862.37
571346.89,520624.26
575946.67,521574.83
557715.61,522301.74
609657.78,522707.76
539011.88,522936.58
630431.89,523137.99
591347.69,523611.94
514233.36,523725.60
587943.78,523726.93
582849.28,523747.99
591514.24,523942.74
546637.51,524087.18
584324.62,524355.32
546877.74,524361.74
559758.45,524419.89
613461.87,524581.99
615362.09,525259.85
621797.81,525418.34
617857.40,525775.21
601183.44,525791.32
596238.83,525963.82
569683.10,526015.34
558741.47,526251.02
562872.31,526372.93
602942.53,526563.88
534632.47,526597.97
601600.16,527319.07
542115.39,528243.18
571856.67,528555.00
623841.46,528577.30
563164.04,529364.05
607093.12,529731.13
567534.66,530026.60
634970.00,530246.84
585251.39,531137.64
616011.56,531836.53
557425.57,531871.21
557170.01,532194.57
588547.93,532809.56
581193.96,533122.32
532977.59,533545.23
543237.89,533924.64
531929.36,534391.06
669288.17,534414.38
595086.91,535785.63
644512.91,535976.98
602580.02,536028.21
591589.58,536164.94
576171.03,536846.99
583325.54,538095.30
542336.42,538282.73
680149.06,538425.30
609214.21,538689.47
546549.71,538819.64
553493.20,538998.73
591446.33,539804.12
595182.52,539983.87
566035.56,540202.61
581526.37,540454.80
575146.76,540486.81
552890.42,540577.77
619672.48,540679.97
598415.38,541080.70
488448.65,541476.51
562940.24,541482.56
559986.16,541541.18
556249.68,541554.33
579630.18,542145.68
572570.58,542225.93
567816.92,542501.88
554757.25,542832.57
560233.44,543382.91
582301.52,543602.28
592385.39,543709.14
525546.99,544357.07
641404.96,544598.96
546646.69,545911.11
565645.22,545976.85
586709.56,547306.14
607172.74,547450.61
574894.57,547715.44
589093.93,548356.72
608315.66,549004.35
568302.27,549256.78
560269.07,549738.63
629376.28,550561.79
575532.49,551305.74
577936.67,551442.38
